0.039762,0.218517,0.103423,,0.957904
0.937288,0.041567,0.899125,,0.97768
0.780504,0.008948,0.557808,,0.79751
0.672717,0.24787,,0.264071,0.444358
0.053829,0.520124,,0.552264,0.190008
0.845678,,0.354321,0.789012,0.876543
0.123456,,0.678912,0.456789,0.234567
0.987654,0.012345,,0.123456,0.345678
0.54321,0.789012,0.234567,0.456789,
0.876543,0.345678,0.345678,0.56789,
0.234567,0.901234,0.56789,,0.678901
0.654321,0.234567,0.678901,,0.789012
0.345678,0.345678,,0.789012,0.890123
0.789012,,0.456789,0.890123,0.901234
0.456789,0.56789,0.901234,0.123456,
0.723456,0.189234,0.612378,0.876543,
,0.234567,0.456789,0.345678,0.901234
,0.876543,0.012345,0.765432,0.54321
0.123456,0.901234,,0.234567,0.876543
0.54321,0.345678,0.876543,,0.123456
